run,tag,algo,env,seed,dwell,n_eval,last_iter,complete_1500,mean_last_iters,std_last_iters,best_eval,runtime_hours,mean_iter_seconds,mean_train_seconds,has_eval_std,switches,detections,precision,recall,median_delay,mean_delay,p90_delay,false_positives,false_pos_per_1k
paper_ablate_v2_bapr_no_rmdm_Ant_dw60_s1,paper_ablate_v2,bapr_no_rmdm,Ant-v2,1,60,300,1499,True,1967.396,1285.500,16948.273,5.754,13.811,0.500,True,25,24,0.281,0.960,11.0,16.6,35.0,11,7.33
paper_ablate_v2_bapr_no_rmdm_Ant_dw60_s2,paper_ablate_v2,bapr_no_rmdm,Ant-v2,2,60,300,1499,True,2780.076,1729.299,15081.771,15.520,37.247,2.094,True,21,21,0.328,1.000,13.0,15.7,34.0,11,7.33
paper_ablate_v2_bapr_no_rmdm_HalfCheetah_dw60_s0,paper_ablate_v2,bapr_no_rmdm,HalfCheetah-v2,0,60,300,1499,True,21072.837,741.402,24368.824,19.681,47.235,1.210,True,29,29,0.362,1.000,12.0,14.6,26.6,10,6.67
paper_ablate_v2_bapr_no_rmdm_HalfCheetah_dw60_s1,paper_ablate_v2,bapr_no_rmdm,HalfCheetah-v2,1,60,300,1499,True,11692.268,1246.664,13100.486,20.513,49.231,1.238,True,29,29,0.324,1.000,9.0,9.9,16.2,10,6.67
paper_ablate_v2_bapr_no_rmdm_HalfCheetah_dw60_s2,paper_ablate_v2,bapr_no_rmdm,HalfCheetah-v2,2,60,300,1499,True,20970.243,3608.413,22522.209,20.441,49.058,1.250,True,22,22,0.300,1.000,9.5,15.0,37.9,9,6.00
paper_ablate_v2_bapr_unsupervised_Ant_dw60_s0,paper_ablate_v2,bapr_unsupervised,Ant-v2,0,60,300,1499,True,1398.202,752.841,14220.141,8.701,20.883,1.641,True,28,27,0.357,0.964,10.0,12.2,25.4,7,4.67
paper_ablate_v2_bapr_unsupervised_Ant_dw60_s1,paper_ablate_v2,bapr_unsupervised,Ant-v2,1,60,300,1499,True,1359.407,680.252,12417.900,11.054,26.529,2.277,True,25,23,0.309,0.920,14.0,15.8,30.4,8,5.33
paper_ablate_v2_bapr_unsupervised_Ant_dw60_s2,paper_ablate_v2,bapr_unsupervised,Ant-v2,2,60,300,1499,True,2938.332,2735.412,16316.320,4.761,11.426,0.689,True,21,21,0.270,1.000,11.0,13.9,25.0,12,8.00
paper_ablate_v2_bapr_unsupervised_HalfCheetah_dw60_s0,paper_ablate_v2,bapr_unsupervised,HalfCheetah-v2,0,60,300,1499,True,19108.840,1471.020,23922.361,21.755,52.212,1.362,True,28,27,0.318,0.964,9.0,12.1,25.4,13,8.67
paper_ablate_v2_bapr_unsupervised_HalfCheetah_dw60_s1,paper_ablate_v2,bapr_unsupervised,HalfCheetah-v2,1,60,300,1499,True,20445.484,1050.881,23133.919,21.793,52.304,1.576,True,25,23,0.302,0.920,9.0,10.3,19.8,9,6.00
paper_ablate_v2_bapr_unsupervised_HalfCheetah_dw60_s2,paper_ablate_v2,bapr_unsupervised,HalfCheetah-v2,2,60,300,1499,True,11321.513,2857.162,14857.761,21.895,52.547,1.529,True,21,21,0.258,1.000,11.0,11.6,18.0,12,8.00
paper_bad_bapr_HalfCheetah_dw60_s1,paper,bad_bapr,HalfCheetah-v2,1,60,300,1499,True,16362.641,450.018,17283.582,23.348,56.035,2.434,True,25,3,0.200,0.120,2.0,4.7,9.2,5,3.33
paper_bad_bapr_HalfCheetah_dw60_s2,paper,bad_bapr,HalfCheetah-v2,2,60,300,1499,True,10884.448,2325.561,13835.600,,,,False,0,0,,,,,,,
paper_bapr_fixed_decay_HalfCheetah_dw60_s1,paper,bapr_fixed_decay,HalfCheetah-v2,1,60,300,1499,True,8508.545,626.818,10049.887,23.331,55.995,2.440,True,25,0,0.000,0.000,,,,0,0.00
paper_bapr_fixed_decay_HalfCheetah_dw60_s2,paper,bapr_fixed_decay,HalfCheetah-v2,2,60,300,1499,True,19621.483,609.210,20719.832,23.334,56.001,2.539,True,21,0,0.000,0.000,,,,0,0.00
paper_bapr_Hopper_dw60_s1,paper,bapr,Hopper-v2,1,60,300,1499,True,382.437,4.524,430.434,6.695,16.069,2.119,True,25,22,0.357,0.880,11.5,15.0,31.8,3,2.00
paper_bapr_Hopper_dw60_s2,paper,bapr,Hopper-v2,2,60,300,1499,True,451.735,6.211,469.946,2.305,5.533,0.318,True,18,9,0.222,0.500,6.0,11.8,29.0,17,11.33
paper_bapr_no_adapt_beta_HalfCheetah_dw60_s1,paper,bapr_no_adapt_beta,HalfCheetah-v2,1,60,300,1499,True,20603.430,4239.366,23443.195,15.793,37.904,1.257,True,25,17,0.500,0.680,12.0,17.2,44.0,3,2.00
paper_bapr_no_adapt_beta_HalfCheetah_dw60_s2,paper,bapr_no_adapt_beta,HalfCheetah-v2,2,60,300,1499,True,18173.600,954.747,19443.549,15.794,37.905,1.267,True,21,15,0.500,0.714,25.0,27.3,44.2,4,2.67
paper_bapr_no_bocd_HalfCheetah_dw60_s1,paper,bapr_no_bocd,HalfCheetah-v2,1,60,300,1499,True,18905.643,1257.621,21361.317,7.571,18.170,0.224,True,25,0,0.000,0.000,,,,0,0.00
paper_bapr_no_bocd_HalfCheetah_dw60_s2,paper,bapr_no_bocd,HalfCheetah-v2,2,60,300,1499,True,8779.464,402.797,10901.047,24.277,58.264,2.492,True,21,0,0.000,0.000,,,,0,0.00
paper_bapr_no_rmdm_HalfCheetah_dw60_s1,paper,bapr_no_rmdm,HalfCheetah-v2,1,60,300,1499,True,11026.111,595.792,12553.994,7.525,18.060,0.167,True,25,23,0.254,0.920,11.0,15.1,32.0,9,6.00
paper_bapr_no_rmdm_HalfCheetah_dw60_s2,paper,bapr_no_rmdm,HalfCheetah-v2,2,60,300,1499,True,9398.910,485.861,11437.473,7.504,18.011,0.165,True,21,21,0.284,1.000,8.0,9.6,16.0,12,8.00
paper_bapr_Walker2d_dw60_s1,paper,bapr,Walker2d-v2,1,60,300,1499,True,376.145,14.086,431.800,0.036,129.889,0.000,True,0,0,,,,,,,
paper_bapr_Walker2d_dw60_s2,paper,bapr,Walker2d-v2,2,60,300,1499,True,326.229,4.709,341.317,4.855,11.652,1.249,True,21,10,0.381,0.476,21.5,23.7,40.0,5,3.33
paper_escp_Hopper_dw60_s1,paper,escp,Hopper-v2,1,60,300,1499,True,667.582,71.876,861.308,4.731,11.354,1.303,True,0,0,,,,,,,
paper_escp_Hopper_dw60_s2,paper,escp,Hopper-v2,2,60,300,1499,True,715.135,26.277,765.313,4.735,11.365,1.310,True,0,0,,,,,,,
paper_escp_Walker2d_dw60_s1,paper,escp,Walker2d-v2,1,60,300,1499,True,573.443,102.178,789.397,4.827,11.584,1.197,True,0,0,,,,,,,
paper_escp_Walker2d_dw60_s2,paper,escp,Walker2d-v2,2,60,300,1499,True,347.076,36.934,696.526,2.353,5.646,0.209,True,0,0,,,,,,,
paper_full_v2_bapr_Ant_dw60_s0,paper_full_v2,bapr,Ant-v2,0,60,300,1499,True,18319.318,3071.565,21674.386,11.758,28.219,2.597,True,25,17,0.485,0.680,11.0,15.1,34.8,6,4.00
paper_full_v2_bapr_Ant_dw60_s1,paper_full_v2,bapr,Ant-v2,1,60,300,1499,True,23382.337,835.926,25992.459,12.291,29.499,2.621,True,25,17,0.425,0.680,14.0,15.6,31.0,5,3.33
paper_full_v2_bapr_Ant_dw60_s2,paper_full_v2,bapr,Ant-v2,2,60,300,1499,True,21729.088,649.066,22874.952,12.490,29.976,2.797,True,21,15,0.433,0.714,18.0,21.1,39.0,7,4.67
paper_full_v2_bapr_Ant_dw60_s3,paper_full_v2,bapr,Ant-v2,3,60,300,1499,True,18976.784,8325.746,25912.699,12.532,30.076,2.858,True,30,22,0.400,0.733,19.0,18.7,32.7,9,6.00
paper_full_v2_bapr_Ant_dw60_s4,paper_full_v2,bapr,Ant-v2,4,60,300,1499,True,20922.783,5863.684,25832.600,13.275,31.861,3.060,True,33,29,0.476,0.879,16.0,17.2,34.2,3,2.00
paper_full_v2_bapr_HalfCheetah_dw60_s0,paper_full_v2,bapr,HalfCheetah-v2,0,60,300,1499,True,7831.850,199.758,9439.235,7.698,18.474,0.386,True,28,20,0.344,0.714,14.5,15.8,30.2,6,4.00
paper_full_v2_bapr_HalfCheetah_dw60_s1,paper_full_v2,bapr,HalfCheetah-v2,1,60,300,1499,True,10210.675,224.184,10828.250,19.460,46.703,2.038,True,29,22,0.452,0.759,17.0,17.0,38.7,4,2.67
paper_full_v2_bapr_HalfCheetah_dw60_s2,paper_full_v2,bapr,HalfCheetah-v2,2,60,300,1499,True,12465.600,418.299,14098.432,22.928,55.027,2.570,True,21,16,0.500,0.762,13.5,15.1,31.0,6,4.00
paper_full_v2_bapr_HalfCheetah_dw60_s3,paper_full_v2,bapr,HalfCheetah-v2,3,60,300,1499,True,6046.758,172.434,6451.085,18.269,43.845,1.909,True,30,20,0.542,0.667,20.5,21.9,42.1,5,3.33
paper_full_v2_bapr_HalfCheetah_dw60_s4,paper_full_v2,bapr,HalfCheetah-v2,4,60,300,1499,True,9887.167,334.474,10845.894,16.282,39.078,1.566,True,33,20,0.500,0.606,14.0,16.4,36.2,2,1.33
paper_full_v2_escp_Ant_dw60_s0,paper_full_v2,escp,Ant-v2,0,60,300,1499,True,3714.803,3826.678,17891.129,11.778,28.267,2.385,True,0,0,,,,,,,
paper_full_v2_escp_Ant_dw60_s1,paper_full_v2,escp,Ant-v2,1,60,300,1499,True,1448.748,646.815,13154.481,11.941,28.659,2.374,True,0,0,,,,,,,
paper_full_v2_escp_Ant_dw60_s2,paper_full_v2,escp,Ant-v2,2,60,300,1499,True,1578.520,667.022,10771.714,11.912,28.588,2.382,True,0,0,,,,,,,
paper_full_v2_escp_Ant_dw60_s3,paper_full_v2,escp,Ant-v2,3,60,300,1499,True,5249.091,5098.488,22145.518,12.040,28.896,2.405,True,0,0,,,,,,,
paper_full_v2_escp_Ant_dw60_s4,paper_full_v2,escp,Ant-v2,4,60,300,1499,True,2504.137,1000.344,17466.972,11.900,28.560,2.355,True,0,0,,,,,,,
paper_full_v2_escp_HalfCheetah_dw60_s0,paper_full_v2,escp,HalfCheetah-v2,0,60,300,1499,True,17537.263,629.158,18854.531,23.256,55.814,2.437,True,0,0,,,,,,,
paper_full_v2_escp_HalfCheetah_dw60_s1,paper_full_v2,escp,HalfCheetah-v2,1,60,300,1499,True,9846.773,3745.740,15571.825,23.387,56.128,1.983,True,0,0,,,,,,,
paper_full_v2_escp_HalfCheetah_dw60_s2,paper_full_v2,escp,HalfCheetah-v2,2,60,300,1499,True,14444.708,3132.010,16595.260,23.384,56.121,2.042,True,0,0,,,,,,,
