run,tag,algo,env,seed,dwell,n_eval,last_iter,complete_1500,mean_last_iters,std_last_iters,best_eval,runtime_hours,mean_iter_seconds,mean_train_seconds,has_eval_std
paper_escp_Walker2d_dw60_s2,paper,escp,Walker2d-v2,2,60,300,1499,True,347.076,36.934,696.526,2.353,5.646,0.209,True
paper_full_v2_bapr_Ant_dw60_s0,paper_full_v2,bapr,Ant-v2,0,60,300,1499,True,18319.318,3071.565,21674.386,11.758,28.219,2.597,True
paper_full_v2_bapr_Ant_dw60_s1,paper_full_v2,bapr,Ant-v2,1,60,300,1499,True,23382.337,835.926,25992.459,12.291,29.499,2.621,True
paper_full_v2_bapr_Ant_dw60_s2,paper_full_v2,bapr,Ant-v2,2,60,300,1499,True,21729.088,649.066,22874.952,12.490,29.976,2.797,True
paper_full_v2_bapr_Ant_dw60_s3,paper_full_v2,bapr,Ant-v2,3,60,300,1499,True,18976.784,8325.746,25912.699,12.532,30.076,2.858,True
paper_full_v2_bapr_Ant_dw60_s4,paper_full_v2,bapr,Ant-v2,4,60,300,1499,True,20922.783,5863.684,25832.600,13.275,31.861,3.060,True
paper_full_v2_bapr_HalfCheetah_dw60_s0,paper_full_v2,bapr,HalfCheetah-v2,0,60,300,1499,True,7831.850,199.758,9439.235,7.698,18.474,0.386,True
paper_full_v2_bapr_HalfCheetah_dw60_s1,paper_full_v2,bapr,HalfCheetah-v2,1,60,300,1499,True,10210.675,224.184,10828.250,19.460,46.703,2.038,True
paper_full_v2_bapr_HalfCheetah_dw60_s2,paper_full_v2,bapr,HalfCheetah-v2,2,60,300,1499,True,12465.600,418.299,14098.432,22.928,55.027,2.570,True
paper_full_v2_bapr_HalfCheetah_dw60_s3,paper_full_v2,bapr,HalfCheetah-v2,3,60,300,1499,True,6046.758,172.434,6451.085,18.269,43.845,1.909,True
paper_full_v2_bapr_HalfCheetah_dw60_s4,paper_full_v2,bapr,HalfCheetah-v2,4,60,300,1499,True,9887.167,334.474,10845.894,16.282,39.078,1.566,True
paper_full_v2_escp_Ant_dw60_s0,paper_full_v2,escp,Ant-v2,0,60,300,1499,True,3714.803,3826.678,17891.129,11.778,28.267,2.385,True
paper_full_v2_escp_Ant_dw60_s1,paper_full_v2,escp,Ant-v2,1,60,300,1499,True,1448.748,646.815,13154.481,11.941,28.659,2.374,True
paper_full_v2_escp_Ant_dw60_s2,paper_full_v2,escp,Ant-v2,2,60,300,1499,True,1578.520,667.022,10771.714,11.912,28.588,2.382,True
paper_full_v2_escp_Ant_dw60_s3,paper_full_v2,escp,Ant-v2,3,60,300,1499,True,5249.091,5098.488,22145.518,12.040,28.896,2.405,True
paper_full_v2_escp_Ant_dw60_s4,paper_full_v2,escp,Ant-v2,4,60,300,1499,True,2504.137,1000.344,17466.972,11.900,28.560,2.355,True
paper_full_v2_escp_HalfCheetah_dw60_s0,paper_full_v2,escp,HalfCheetah-v2,0,60,300,1499,True,17537.263,629.158,18854.531,23.256,55.814,2.437,True
paper_full_v2_escp_HalfCheetah_dw60_s1,paper_full_v2,escp,HalfCheetah-v2,1,60,300,1499,True,9846.773,3745.740,15571.825,23.387,56.128,1.983,True
paper_full_v2_escp_HalfCheetah_dw60_s2,paper_full_v2,escp,HalfCheetah-v2,2,60,300,1499,True,14444.708,3132.010,16595.260,23.384,56.121,2.042,True
paper_full_v2_escp_HalfCheetah_dw60_s3,paper_full_v2,escp,HalfCheetah-v2,3,60,300,1499,True,11917.888,2558.250,14338.334,19.660,47.183,1.848,True
paper_full_v2_escp_HalfCheetah_dw60_s4,paper_full_v2,escp,HalfCheetah-v2,4,60,300,1499,True,13813.790,2098.654,15453.399,19.655,47.172,1.845,True
paper_full_v2_resac_Ant_dw60_s0,paper_full_v2,resac,Ant-v2,0,60,300,1499,True,2488.252,1461.190,15283.191,10.820,25.969,1.232,True
paper_full_v2_resac_Ant_dw60_s1,paper_full_v2,resac,Ant-v2,1,60,300,1499,True,6726.806,6241.760,19620.002,10.990,26.375,1.251,True
paper_full_v2_resac_Ant_dw60_s2,paper_full_v2,resac,Ant-v2,2,60,300,1499,True,2604.688,2254.001,15583.620,11.178,26.828,1.303,True
paper_full_v2_resac_Ant_dw60_s3,paper_full_v2,resac,Ant-v2,3,60,300,1499,True,6831.113,6664.668,21170.043,11.034,26.482,1.271,True
paper_full_v2_resac_Ant_dw60_s4,paper_full_v2,resac,Ant-v2,4,60,300,1499,True,1251.922,535.337,14102.495,9.983,23.960,1.113,True
paper_full_v2_resac_HalfCheetah_dw60_s0,paper_full_v2,resac,HalfCheetah-v2,0,60,300,1499,True,18387.772,490.909,19651.756,22.361,53.668,1.241,True
paper_full_v2_resac_HalfCheetah_dw60_s1,paper_full_v2,resac,HalfCheetah-v2,1,60,300,1499,True,14064.521,444.780,14900.946,22.654,54.370,1.258,True
paper_full_v2_resac_HalfCheetah_dw60_s2,paper_full_v2,resac,HalfCheetah-v2,2,60,300,1499,True,8531.809,269.971,9467.740,24.631,59.115,1.433,True
paper_full_v2_resac_HalfCheetah_dw60_s3,paper_full_v2,resac,HalfCheetah-v2,3,60,300,1499,True,16319.713,830.461,17653.888,20.325,48.779,1.104,True
paper_full_v2_resac_HalfCheetah_dw60_s4,paper_full_v2,resac,HalfCheetah-v2,4,60,300,1499,True,20217.047,1222.385,21805.443,21.838,52.410,1.205,True
paper_full_v2_sac_Ant_dw60_s0,paper_full_v2,sac,Ant-v2,0,60,300,1499,True,11570.642,335.566,12300.815,7.679,18.430,0.774,True
paper_full_v2_sac_Ant_dw60_s1,paper_full_v2,sac,Ant-v2,1,60,300,1499,True,16521.106,6423.325,21643.357,7.282,17.476,0.726,True
paper_full_v2_sac_Ant_dw60_s2,paper_full_v2,sac,Ant-v2,2,60,300,1499,True,17578.766,890.924,19233.307,7.162,17.189,0.670,True
paper_full_v2_sac_Ant_dw60_s3,paper_full_v2,sac,Ant-v2,3,60,300,1499,True,18770.357,465.109,19720.590,6.358,15.259,0.584,True
paper_full_v2_sac_Ant_dw60_s4,paper_full_v2,sac,Ant-v2,4,60,300,1499,True,16891.757,2764.577,19085.893,3.675,8.820,0.192,True
paper_full_v2_sac_HalfCheetah_dw60_s0,paper_full_v2,sac,HalfCheetah-v2,0,60,300,1499,True,8070.188,285.562,8544.142,22.386,53.726,1.262,True
paper_full_v2_sac_HalfCheetah_dw60_s1,paper_full_v2,sac,HalfCheetah-v2,1,60,300,1499,True,21352.867,504.120,22381.038,22.687,54.449,1.261,True
paper_full_v2_sac_HalfCheetah_dw60_s2,paper_full_v2,sac,HalfCheetah-v2,2,60,300,1499,True,13491.645,449.715,14472.847,24.470,58.727,1.399,True
paper_full_v2_sac_HalfCheetah_dw60_s3,paper_full_v2,sac,HalfCheetah-v2,3,60,300,1499,True,8618.458,161.704,8934.680,18.310,43.944,0.951,True
paper_full_v2_sac_HalfCheetah_dw60_s4,paper_full_v2,sac,HalfCheetah-v2,4,60,300,1499,True,7653.178,389.203,9611.926,23.295,55.907,1.317,True
paper_legacy_v2_bapr_Ant_dw60_s0,paper_legacy_v2,bapr,Ant-v2,0,60,300,1499,True,15748.920,6256.711,21531.838,11.054,26.529,2.508,True
paper_legacy_v2_bapr_Ant_dw60_s1,paper_legacy_v2,bapr,Ant-v2,1,60,300,1499,True,16431.595,5995.654,21641.357,11.255,27.011,2.564,True
paper_legacy_v2_bapr_Ant_dw60_s2,paper_legacy_v2,bapr,Ant-v2,2,60,300,1499,True,17077.104,4037.165,19665.881,11.768,28.242,2.649,True
paper_legacy_v2_bapr_HalfCheetah_dw60_s0,paper_legacy_v2,bapr,HalfCheetah-v2,0,60,300,1499,True,12571.336,611.614,13506.550,14.116,33.880,1.591,True
paper_legacy_v2_bapr_HalfCheetah_dw60_s1,paper_legacy_v2,bapr,HalfCheetah-v2,1,60,300,1499,True,8777.734,526.696,9835.928,14.125,33.900,1.584,True
paper_legacy_v2_bapr_HalfCheetah_dw60_s2,paper_legacy_v2,bapr,HalfCheetah-v2,2,60,300,1499,True,6705.663,2638.705,9006.808,14.918,35.804,1.560,True
paper_negative_v2_bapr_Hopper_dw60_s0,paper_negative_v2,bapr,Hopper-v2,0,60,300,1499,True,463.656,10.831,481.339,7.341,17.619,1.567,True
paper_negative_v2_bapr_Hopper_dw60_s1,paper_negative_v2,bapr,Hopper-v2,1,60,300,1499,True,402.121,19.036,429.487,7.949,19.079,1.677,True
paper_negative_v2_bapr_Hopper_dw60_s2,paper_negative_v2,bapr,Hopper-v2,2,60,300,1499,True,459.885,17.171,494.715,6.427,15.424,1.395,True
paper_negative_v2_bapr_Walker2d_dw60_s0,paper_negative_v2,bapr,Walker2d-v2,0,60,300,1499,True,325.153,5.425,414.391,7.306,17.535,1.576,True
paper_negative_v2_bapr_Walker2d_dw60_s1,paper_negative_v2,bapr,Walker2d-v2,1,60,300,1499,True,326.962,6.100,410.270,7.304,17.529,1.705,True
paper_negative_v2_bapr_Walker2d_dw60_s2,paper_negative_v2,bapr,Walker2d-v2,2,60,300,1499,True,312.052,3.156,370.333,6.738,16.170,1.561,True
paper_negative_v2_escp_Hopper_dw60_s0,paper_negative_v2,escp,Hopper-v2,0,60,300,1499,True,557.795,82.334,698.247,5.899,14.157,1.745,True
paper_negative_v2_escp_Hopper_dw60_s1,paper_negative_v2,escp,Hopper-v2,1,60,300,1499,True,734.517,132.800,890.439,7.129,17.109,2.222,True
paper_negative_v2_escp_Hopper_dw60_s2,paper_negative_v2,escp,Hopper-v2,2,60,300,1499,True,707.093,134.708,858.519,7.117,17.081,2.197,True
paper_negative_v2_escp_Walker2d_dw60_s0,paper_negative_v2,escp,Walker2d-v2,0,60,300,1499,True,393.579,36.754,660.471,7.301,17.522,1.529,True
paper_negative_v2_escp_Walker2d_dw60_s1,paper_negative_v2,escp,Walker2d-v2,1,60,300,1499,True,646.150,80.890,5029.006,7.281,17.474,1.657,True
paper_negative_v2_escp_Walker2d_dw60_s2,paper_negative_v2,escp,Walker2d-v2,2,60,300,1499,True,339.633,13.595,421.251,6.170,14.809,1.382,True
paper_negative_v2_resac_Hopper_dw60_s0,paper_negative_v2,resac,Hopper-v2,0,60,300,1499,True,702.366,47.271,796.846,6.880,16.511,0.717,True
paper_negative_v2_resac_Hopper_dw60_s1,paper_negative_v2,resac,Hopper-v2,1,60,300,1499,True,787.783,133.571,1153.911,7.388,17.732,0.745,True
paper_negative_v2_resac_Hopper_dw60_s2,paper_negative_v2,resac,Hopper-v2,2,60,300,1499,True,766.158,95.204,1007.911,6.850,16.441,0.731,True
