run,tag,algo,env,seed,dwell,n_eval,last_iter,complete_1500,mean_last_iters,std_last_iters,best_eval,runtime_hours,mean_iter_seconds,mean_train_seconds,has_eval_std,mode_means,worst_mode,worst_mode_mean,mean_worst_gap,worst_quartile_mean,recovery_n,recovery_median_iters,recovery_mean_iters
paper_ablate_v2_bapr_no_rmdm_HalfCheetah_dw60_s2,paper_ablate_v2,bapr_no_rmdm,HalfCheetah-v2,2,60,300,1499,True,20970.243,3608.413,22522.209,20.441,49.058,1.250,True,0:21110.4;1:17339.1;2:21666.8;3:21765.3,1,17339.075,3131.304,18426.795,22,2.0,3.6
paper_ablate_v2_bapr_unsupervised_Ant_dw60_s0,paper_ablate_v2,bapr_unsupervised,Ant-v2,0,60,300,1499,True,1398.202,752.841,14220.141,8.701,20.883,1.641,True,0:1071.7;1:1546.3;3:1514.3,0,1071.691,305.759,617.805,28,4.0,40.6
paper_ablate_v2_bapr_unsupervised_Ant_dw60_s1,paper_ablate_v2,bapr_unsupervised,Ant-v2,1,60,300,1499,True,1359.407,680.252,12417.900,11.054,26.529,2.277,True,0:1105.3;1:1443.6;2:1445.7;3:1244.8,0,1105.308,204.567,694.670,26,4.0,180.3
paper_ablate_v2_bapr_unsupervised_Ant_dw60_s2,paper_ablate_v2,bapr_unsupervised,Ant-v2,2,60,300,1499,True,2938.332,2735.412,16316.320,4.761,11.426,0.689,True,0:6021.9;1:3593.8;2:2293.4;3:2117.0,3,2116.962,1389.567,1303.034,22,2.5,15.0
paper_ablate_v2_bapr_unsupervised_HalfCheetah_dw60_s0,paper_ablate_v2,bapr_unsupervised,HalfCheetah-v2,0,60,300,1499,True,19108.840,1471.020,23922.361,21.755,52.212,1.362,True,0:19878.8;1:18460.0;3:18930.3,1,18459.974,629.715,17535.760,28,3.0,4.4
paper_ablate_v2_bapr_unsupervised_HalfCheetah_dw60_s1,paper_ablate_v2,bapr_unsupervised,HalfCheetah-v2,1,60,300,1499,True,20445.484,1050.881,23133.919,21.793,52.304,1.576,True,0:20051.0;1:19979.7;2:21102.1;3:20111.5,1,19979.663,331.415,19338.965,23,2.0,2.0
paper_ablate_v2_bapr_unsupervised_HalfCheetah_dw60_s2,paper_ablate_v2,bapr_unsupervised,HalfCheetah-v2,2,60,300,1499,True,11321.513,2857.162,14857.761,21.895,52.547,1.529,True,0:11828.0;1:11156.0;2:13184.2;3:9794.0,3,9794.037,1696.521,7116.567,22,2.0,5.4
paper_bad_bapr_HalfCheetah_dw60_s1,paper,bad_bapr,HalfCheetah-v2,1,60,300,1499,True,16362.641,450.018,17283.582,23.348,56.035,2.434,True,0:16527.8;1:16279.4;2:16439.1;3:16295.2,1,16279.382,105.987,15790.506,24,2.0,1.9
paper_bad_bapr_HalfCheetah_dw60_s2,paper,bad_bapr,HalfCheetah-v2,2,60,300,1499,True,10884.448,2325.561,13835.600,,,,False,,,,,7414.440,0,,
paper_bapr_fixed_decay_HalfCheetah_dw60_s1,paper,bapr_fixed_decay,HalfCheetah-v2,1,60,300,1499,True,8508.545,626.818,10049.887,23.331,55.995,2.440,True,0:8084.8;1:8424.1;2:8601.9;3:8583.0,0,8084.768,338.671,7651.004,23,2.0,2.1
paper_bapr_fixed_decay_HalfCheetah_dw60_s2,paper,bapr_fixed_decay,HalfCheetah-v2,2,60,300,1499,True,19621.483,609.210,20719.832,23.334,56.001,2.539,True,0:19985.9;1:19411.1;2:19593.3;3:19771.6,1,19411.080,279.407,18801.660,21,2.0,2.2
